source,target,relationship
"Cherry, Miss. Gladys","Maioni, Miss. Roberta",shared_ticket
"Cherry, Miss. Gladys","Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",shared_ticket_and_cabin
"Maioni, Miss. Roberta","Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",shared_ticket
"Taussig, Miss. Ruth","Taussig, Mr. Emil",shared_ticket
"Taussig, Miss. Ruth","Taussig, Mrs. Emil (Tillie Mandelbaum)",shared_ticket
"Taussig, Mr. Emil","Taussig, Mrs. Emil (Tillie Mandelbaum)",shared_ticket_and_cabin
"Clifford, Mr. George Quincy","Porter, Mr. Walter Chamberlain",shared_ticket
"Warren, Mr. Frank Manley","Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",shared_ticket_and_cabin
"Hippach, Miss. Jean Gertrude","Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",shared_ticket_and_cabin
"Fry, Mr. Richard","Ismay, Mr. Joseph Bruce",shared_ticket
"Gibson, Miss. Dorothy Winifred","Gibson, Mrs. Leonard (Pauline C Boeson)",shared_ticket
"Carrau, Mr. Francisco M","Carrau, Mr. Jose Pedro",shared_ticket
"Geiger, Miss. Amalie","Keeping, Mr. Edwin",shared_ticket
"Geiger, Miss. Amalie","Widener, Mr. George Dunton",shared_ticket
"Geiger, Miss. Amalie","Widener, Mr. Harry Elkins",shared_ticket
"Geiger, Miss. Amalie","Widener, Mrs. George Dunton (Eleanor Elkins)",shared_ticket
"Keeping, Mr. Edwin","Widener, Mr. George Dunton",shared_ticket
"Keeping, Mr. Edwin","Widener, Mr. Harry Elkins",shared_ticket
"Keeping, Mr. Edwin","Widener, Mrs. George Dunton (Eleanor Elkins)",shared_ticket
"Widener, Mr. George Dunton","Widener, Mr. Harry Elkins",shared_ticket
"Widener, Mr. George Dunton","Widener, Mrs. George Dunton (Eleanor Elkins)",shared_ticket_and_cabin
"Widener, Mr. Harry Elkins","Widener, Mrs. George Dunton (Eleanor Elkins)",shared_ticket
"Bowerman, Miss. Elsie Edith","Chibnall, Mrs. (Edith Martha Bowerman)",shared_ticket_and_cabin
"Ostby, Miss. Helene Ragnhild","Ostby, Mr. Engelhart Cornelius",shared_ticket
"Icard, Miss. Amelie","Stone, Mrs. George Nelson (Martha Evelyn)",shared_ticket_and_cabin
