featuring,host_profile,collab_weight
Asher D,Asher D,0
Dizzee Rascal,Dizzee Rascal,0
Lethal Bizzle,Lethal Bizzle,0
Treble Clef,Treble Clef,0
Shystie,Shystie,0
Ghetts,Kano,1
Wiley,Kano,1
BBK,Jammer,3
Frisco,Jammer,1
Newham Generals,Jammer,1
Virus Syndicate,Virus Syndicate,0
Ghetts,Devlin,1
Mercston,Mercston,0
Sway,Sway,0
Skepta,Skepta,0
Tinchy Stryder,Tinchy Stryder,0
Wiley,Scorcher,1
Mercston,Scorcher,2
Chip,Chip,0
P Money,P Money,0
Wiley,JME,1
Nu Brand Flexxx,Nu Brand Flexxx,0
Wretch 32,Wretch 32,0
Griminal,Griminal,0
Blacks,Lauren Mason,1
Nolay,Lauren Mason,1
Frisco,Lauren Mason,1
Ghetts,Lauren Mason,1
BBK,BBK,0
Tempa T,Tempa T,0
Flowdan,Flowdan,0
Skepta,Frisco,2
Sway,Frisco,1
Jammer,Frisco,1
Wiley,Frisco,1
Sway,Donaeo,1
Skepta,Newham Generals,1
D Double E,D Double E,0
Lethal Bizzle,Fire Camp,1
Skepta,Sharky Major,1
P Money,Sharky Major,2
Devlin,Sharky Major,2
Dot Rotten,Sharky Major,1
Ghetts,Sharky Major,1
Ghetts,Maxsta,1
Mercston,Maxsta,1
Flowdan,Maxsta,1
Dot Rotten,Maxsta,1
Wiley,Maxsta,1
Skepta,Badness,8
Lil Nasty,Badness,8
Bassboy,Badness,1
Giggs,Krept & Konan,1
Ghetts,Krept & Konan,1
Scorcher,Krept & Konan,1
Wretch 32,Krept & Konan,1
Bless Beats,Bless Beats,0
Zdot,Zdot,0
Remtrex,Remtrex,0
S-X,S-X,0
The Streets,The Streets,0
Tinie Tempah,Tinie Tempah,0
Wiley,Wiley,0
Roll Deep,Roll Deep,0
P Money,P Money,0
Giggs,Giggs,0
Professor Green,Professor Green,0
Doktor,Doktor,0
Ironik,Ironik,0
